,Metric,Value
0,Annual Return,0.04611833817961946
1,Total Return,0.3035741029709711
2,Sharpe,0.5688018372594942
3,Calmar,0.3658335429298413
4,Max DD,-0.12606372234287966
5,Volatility,0.08107979819794381
6,VaR 95%,-0.007873018557170895
7,Skewness,-0.3945080363510948
